jid,formula,spg_number,formation_energy_peratom,optb88vdw_bandgap,ehull,slme
JVASP-26378,Ba2CaTeO6,225,-2.59787,3.255,0.0,0.0
JVASP-39833,Yb2HgGe,225,-0.7254700000000001,0.0,0.0,5.84
JVASP-819,Ar,225,0.0,8.718,0.0,0.0
JVASP-1047,Xe,225,9e-05,6.149,0.0,0.0
JVASP-39748,Yb2AsAu,225,-1.20324,0.219,0.0,23.04
JVASP-25276,Xe,225,0.00024,6.149,0.0,0.0
JVASP-39685,Li2TlBi,225,-0.40409,0.383,0.0,14.17
JVASP-907,Kr,225,0.00028,7.26,0.0,0.0
JVASP-25278,He,225,0.00472,17.968,0.0,0.0
JVASP-15905,K,225,-0.0,0.0,0.0,0.0
JVASP-40299,Sr2BiAu,225,-0.9694,0.617,0.0,26.37
JVASP-40058,YbLi2Pb,225,-0.45794,0.0,0.0,5.84
JVASP-25328,Hg,225,0.25558,0.77,0.0,19.71
JVASP-39816,Li2CaPb,225,-0.47093,0.0,0.0,5.84
JVASP-25114,K,225,-0.0,0.0,0.0,0.0
JVASP-39974,MgTaIr2,225,-0.59843,0.0,0.0,5.84
JVASP-54873,TlI,225,-0.6711400000000001,2.119,0.0013,5.79
JVASP-25383,Na,225,0.00079,0.0,0.0,0.0
JVASP-38233,Rb3Ir,225,0.57557,0.414,0.5983,15.57
JVASP-56854,Rb2LiDyBr6,225,-1.88764,4.217,0.0283,28.84
JVASP-38502,K2RbSb,225,-0.51032,1.033,0.0,23.83
JVASP-26666,K3WF6,225,-2.60387,0.535,0.1116,4.91
JVASP-19655,ErTe,225,-1.24327,0.0,0.0,20.29
JVASP-40310,Sr2HgPb,225,-0.6271100000000001,0.167,0.0,5.84
JVASP-19649,SmS,225,-2.1702,0.0,0.0,30.48
JVASP-16491,BeSe,225,-0.31687,0.387,0.6135,31.89
JVASP-16493,PrO,225,-2.9332700000000003,0.0,0.0184,11.0
JVASP-38034,Rb2SCl6F,225,-1.01329,0.0,0.148,5.85
JVASP-25395,Xe,225,0.00013,6.147,0.0,0.0
JVASP-38036,Rb2NaGaF6,225,-3.00529,6.327,0.0,0.0
JVASP-19778,TbS,225,-2.15731,0.0,0.0,28.79
JVASP-10104,Ba2YNbO6,225,-3.31957,2.92,0.0,0.88
JVASP-78377,GeTe,225,-0.09181,0.495,0.0185,7.48
JVASP-106990,UF3,225,-3.52568,0.339,0.0,17.39
JVASP-11680,Sr2ZnMoO6,225,-2.5866100000000003,2.101,0.0289,8.26
JVASP-12773,Li6Br3N,225,-1.17122,2.519,0.0781,0.05
JVASP-38208,Rb3P,225,-0.25908,0.767,0.0,31.21
JVASP-38049,LiTl2InCl6,225,-1.27815,2.884,0.0,31.97
JVASP-38057,Rb2NaBiCl6,225,-1.64789,3.809,0.0,0.0
JVASP-38303,RbNa2Sb,225,-0.49432,0.841,0.0197,26.28
JVASP-38069,Rb2TlInF6,225,-2.61892,3.674,0.0,0.0
JVASP-37831,Ca2AgBi,225,-0.6991700000000001,0.13,0.0,5.84
JVASP-38070,NaTl2InF6,225,-2.44819,4.587,0.0,0.0
JVASP-38082,Rb2NaSbCl6,225,-1.59888,3.146,0.0,0.12
JVASP-38084,Rb2NaInCl6,225,-1.71671,3.093,0.0,0.0
JVASP-38085,Rb2NaTlF6,225,-2.6055900000000003,3.682,0.0,0.0
JVASP-38087,Rb2TlInCl6,225,-1.48421,2.269,0.0,2.86
JVASP-38088,LiTl2InF6,225,-2.4661,4.287,0.0,31.66
JVASP-38092,Tl2InGaF6,225,-2.23259,2.492,0.001,5.79
JVASP-35250,Na2H6Ir,225,-0.10765,0.0,0.0265,15.67
JVASP-38100,Rb2NaTlCl6,225,-1.51716,1.786,0.0,2.73
JVASP-38103,Rb2InGaF6,225,-2.69906,3.308,0.0046,0.0
JVASP-38115,Rb2NaInF6,225,-2.91693,5.587,0.0,0.0
JVASP-38120,Rb2LiInCl6,225,-1.72514,2.852,0.0,32.12
JVASP-37174,Na3N,225,0.3119,0.0,0.3705,33.73
JVASP-37069,TbH3,225,-0.5926300000000001,0.0,0.0733,8.17
JVASP-38819,Yb2ZnPb,225,-0.5824,0.0,0.0,5.84
JVASP-119,Rb2Te,225,-1.0832,1.887,0.0218,1.54
JVASP-18387,LaH2,225,-0.6941400000000001,0.0,0.0216,29.12
JVASP-12244,Ba2CaMoO6,225,-2.95982,2.148,0.0,8.26
JVASP-18386,HoH2,225,-0.7439600000000001,0.0,0.0,6.06
JVASP-18385,DyH2,225,-0.7418,0.0,0.0,6.22
JVASP-18362,Rb3Bi,225,-0.42732,0.245,0.0,28.53
JVASP-18360,CeBi,225,-0.8335100000000001,0.0,0.0,7.53
JVASP-12323,Ba2NbInO6,225,-2.7897,3.4130000000000003,0.0,0.03
JVASP-9762,Sr2YSbO6,225,-2.87421,3.96,0.0,0.0
JVASP-18383,AcH2,225,-0.6347900000000001,0.0,0.0,30.98
JVASP-11727,Sr2CaMoO6,225,-2.89734,2.098,0.0372,7.33
JVASP-18381,NdH2,225,-0.67866,0.0,0.0,23.34
JVASP-18380,PrH2,225,-0.66402,0.0,0.0,28.45
JVASP-14518,PaO2,225,-3.85062,0.0,0.0292,0.0
JVASP-9756,Ba2SmSbO6,225,-2.84994,3.893,0.0,0.0
JVASP-18323,LaBi,225,-1.10877,0.0,0.0419,5.84
JVASP-1360,Li2O,225,-2.04833,5.448,0.0399,0.0
JVASP-18313,UBi,225,0.16471,0.0,0.1647,5.84
JVASP-12374,MgTePb2O6,225,-1.61944,2.407,0.0187,2.41
JVASP-17807,Mg2Pb,225,-0.1207,0.0,0.0,6.29
JVASP-20603,DyTe,225,-1.31218,0.0,0.0,22.18
JVASP-20583,UAs,225,-0.7327800000000001,0.0,0.0,5.84
JVASP-20600,CeP,225,-1.55174,0.0,0.0,16.37
JVASP-51710,Mg2H6Os,225,-0.34723,3.416,0.0,0.72
JVASP-18391,ErH2,225,-0.7444700000000001,0.0,0.0,6.08
JVASP-9771,Ba2DySbO6,225,-2.90895,3.722,0.0,0.0
JVASP-14507,Mg2Sn,225,-0.25673,0.0,0.0,5.84
JVASP-17841,InN,225,0.19843,0.035,0.2088,25.97
JVASP-51053,Rb2PdI6,225,-0.8113100000000001,0.0,0.0206,9.68
JVASP-12596,H8PtN2Cl6,225,-0.58516,1.745,0.0,15.54
JVASP-19956,NdS,225,-2.17184,0.0,0.0,30.11
JVASP-19806,PrSe,225,-1.90899,0.0,0.0,33.54
JVASP-38763,AcF3,225,-4.35693,7.746,0.0056,0.0
JVASP-16884,SnO2,225,-1.55266,0.07,0.2431,32.1
JVASP-19960,ThAs,225,-1.429,0.0,0.0,5.84
JVASP-19966,TmS,225,-2.07868,0.0,0.0,30.06
JVASP-108986,K2TiHgF6,225,-2.88589,1.729,0.2034,33.83
JVASP-109001,K2NbHgF6,225,-2.56539,0.0,0.2447,32.35
JVASP-109003,Rb2ScTlI6,225,-1.24378,2.319,0.0,11.52
JVASP-109006,Rb3TlI6,225,-0.94939,0.548,0.1579,33.57
JVASP-106199,K3CoF6,225,-2.61434,1.435,0.0,5.87
JVASP-106201,K2LiDyCl6,225,-2.18077,5.087,0.0,20.2
JVASP-107844,Rb2TiAuF6,225,-2.7300500000000003,0.0,0.2798,5.84
JVASP-107862,Rb2InSbI6,225,-0.8576800000000001,0.0,0.0283,5.84
JVASP-110293,Ag2S,225,-0.00862,0.0,0.067,5.84
JVASP-109859,K2GaAuF6,225,-2.37589,0.524,0.1297,9.65
JVASP-109255,Rb2LiSbF6,225,-2.83473,4.322,0.0,0.0
JVASP-109894,KRb2AsI6,225,-0.97127,2.002,0.0604,10.16
JVASP-109240,Rb2BiAuF6,225,-2.22147,1.098,0.1456,12.68
JVASP-108859,Na2LiBiI6,225,-0.7898200000000001,1.893,0.2131,12.68
JVASP-34422,Rb2KBiF6,225,-2.7765500000000003,4.968,0.0,0.0
JVASP-34772,LiBr,225,-1.6539700000000002,5.342,0.0454,7.13
JVASP-58438,K2LiAlF6,225,-3.43752,8.148,0.0,26.72
JVASP-108860,Na3AsF6,225,-2.51583,3.922,0.1249,0.0
JVASP-109120,Sr2AlSbO6,225,-2.77643,1.988,0.0,2.63
JVASP-108602,Rb2LiSbI6,225,-1.02363,1.73,0.0186,21.86
JVASP-109439,K2NaSbI6,225,-0.95866,1.896,0.0863,16.01
JVASP-109257,Rb3AsI6,225,-0.95458,2.141,0.079,8.37
JVASP-25871,Rb2NiF6,225,-2.36246,1.606,0.0,33.37
JVASP-108573,NaLi2GaF6,225,-2.73469,5.494,0.2157,0.0
JVASP-109881,Rb2YAuF6,225,-2.92373,1.377,0.1545,2.8200000000000003
JVASP-109258,Rb3IrF6,225,-2.41751,2.474,0.0253,2.47
JVASP-109459,K2InGaF6,225,-2.58993,2.367,0.1148,2.8
JVASP-108019,InAg3F6,225,-1.52689,0.0,0.1339,31.66
JVASP-109247,Rb2GaAgI6,225,-0.82352,0.0,0.0408,5.84
JVASP-108604,Rb2YHgF6,225,-2.9939400000000003,0.0,0.1246,27.46
JVASP-108574,K2LiNdI6,225,-1.4205,2.896,0.026,1.16
JVASP-109483,KNa2IrF6,225,-2.19609,1.488,0.2163,1.45
JVASP-108974,K2LiScF6,225,-3.5695,6.839,-0.0,0.0
JVASP-109441,K3YF6,225,-3.4577,5.931,0.0676,0.0
JVASP-109834,K2LiYI6,225,-1.43771,2.925,0.0511,1.4
JVASP-108848,K2LiPdF6,225,-2.46233,0.0,0.0053,5.84
JVASP-109466,RbNa2AsF6,225,-2.37653,2.721,0.262,0.0
JVASP-56576,AgCl,225,-0.47113,0.923,0.0005,6.03
JVASP-31174,AgAsF6,225,-1.85523,1.434,0.0,22.8
JVASP-108575,K3MoI6,225,-0.90856,1.213,0.0408,24.45
JVASP-109899,Rb2ScTlF6,225,-3.23946,4.838,0.0178,0.0
JVASP-110067,AlAg3F6,225,-2.07033,0.074,0.057,10.37
JVASP-109249,Na2LiBiF6,225,-2.65647,4.411,0.193,0.0
JVASP-108976,K3IrF6,225,-2.41346,2.474,0.0405,1.98
JVASP-108596,Rb2GaAgF6,225,-2.60673,2.275,0.0,0.0
JVASP-108576,K3AuF6,225,-2.17521,0.713,0.1247,24.72
JVASP-109250,Rb2TlInI6,225,-0.91872,0.6900000000000001,0.0364,33.58
JVASP-109889,Na2AlHgF6,225,-2.65326,0.0,0.2942,29.52
JVASP-109475,Rb2TlAgF6,225,-2.21633,0.258,0.0,33.93
JVASP-109232,K2RbInF6,225,-2.80378,4.98,0.0719,0.0
JVASP-108578,K2TlBiF6,225,-2.47427,2.889,0.1136,0.0
JVASP-109251,Rb2NaScF6,225,-3.5408,6.989,0.0,0.0
JVASP-109854,K2YAgF6,225,-3.07383,2.446,0.0823,0.0
JVASP-108978,K2LiTlF6,225,-2.6416,3.503,0.0,0.0
JVASP-109890,Na3GaF6,225,-2.85096,5.5280000000000005,0.0,0.0
JVASP-110098,KTl2GaF6,225,-2.52624,4.735,0.0,0.0
JVASP-109233,K2NaTiF6,225,-3.26228,0.0,0.0,24.87
JVASP-108598,Na2LiScF6,225,-3.4231,6.233,0.0591,0.0
JVASP-109476,Rb2YAuI6,225,-1.14865,1.155,0.0918,24.85
JVASP-108579,Na3SbF6,225,-2.57113,3.398,0.1931,0.0
JVASP-109891,Rb2NaNdF6,225,-3.45122,6.419,0.0503,0.0
JVASP-109477,K3YI6,225,-1.43808,3.081,0.1004,0.14
JVASP-109117,GaAg3F6,225,-1.65232,0.0,0.0587,18.85
JVASP-109434,Li3InF6,225,-2.68246,4.974,0.2675,0.0
JVASP-110074,Sr2HoUO6,225,-3.44382,0.986,0.0645,30.38
JVASP-108858,Rb2GaAuF6,225,-2.41027,0.63,0.0986,10.79
JVASP-108841,K2NaGaF6,225,-3.01676,6.189,0.0,0.0
JVASP-108710,Sr2ErUO6,225,-3.45952,0.992,0.0499,30.29
JVASP-109236,K2HgSbF6,225,-2.24822,0.0,0.2174,5.84
JVASP-109435,K2NaAsF6,225,-2.70383,4.65,0.0,0.0
JVASP-54956,CuCl,225,-0.30901,0.58,0.1366,32.1
JVASP-108969,Sr2SbAu,225,-1.07349,0.758,0.0,31.42
JVASP-109237,K2AsAuF6,225,-2.08841,0.812,0.2425,17.76
JVASP-19642,LuTe,225,-1.12017,0.0,0.0286,25.05
JVASP-108712,Sr2ScBiO6,225,-2.62248,1.907,0.0,12.09
JVASP-24927,HfVF6,225,-3.45303,1.639,0.0,5.84
JVASP-25185,Li,225,-0.00017,0.0,0.0,0.0
JVASP-38110,Rb2BrCl6F,225,-0.879,1.019,0.1217,33.46
JVASP-19637,HoS,225,-2.12343,0.0,0.0,30.11
JVASP-19725,ScS,225,-2.04183,0.0,0.0,33.75
JVASP-57665,BeO,225,-2.53707,8.761,0.4941,0.0
JVASP-21197,Yb,225,-0.0,0.087,0.0,5.84
JVASP-21193,Ne,225,-0.0,12.196,0.0,0.0
JVASP-19759,TbSe,225,-1.83659,0.0,0.0,33.94
JVASP-38127,Ca6Sn2NF,225,-1.43326,0.147,0.0,7.89
JVASP-38128,K2BrCl6F,225,-0.83896,1.028,0.1719,33.5
JVASP-19779,SmO,225,-3.00227,0.0,0.0575,4.31
JVASP-21387,K2NaAlF6,225,-3.40957,7.49,0.0,0.0
JVASP-19612,CdSe,225,-0.50448,0.0,0.0943,26.02
JVASP-19718,NdSe,225,-1.90302,0.0,0.0,33.79
JVASP-24375,Rb2NaCoF6,225,-2.65774,1.224,0.016,5.84
JVASP-19781,ErS,225,-2.10203,0.0,0.0,29.93
JVASP-55732,K2LiAlH6,225,-0.38678,2.721,0.0037,7.94
JVASP-55733,K2NaAlH6,225,-0.36064,2.676,0.0,0.0
JVASP-110665,K3InF6,225,-2.85204,5.268,0.0,0.0
JVASP-110673,K2ScInI6,225,-1.1612,1.7000000000000002,0.0545,29.09
JVASP-110674,K2YAuI6,225,-1.09059,1.162,0.1452,24.72
JVASP-110709,Na3PdF6,225,-2.22354,0.0,0.0768,5.84
JVASP-110714,Rb2NaPrI6,225,-1.469,3.052,0.0,0.59
JVASP-111116,CeSe2,225,-1.6835,0.645,0.0335,21.63
JVASP-110356,K2AgBiI6,225,-0.7707900000000001,0.758,0.0957,32.68
JVASP-110368,Na3ScBr6,225,-1.56204,3.037,0.1531,2.06
JVASP-110334,Na2LiTlF6,225,-2.44549,3.414,0.1139,0.76
JVASP-110382,Rb2LiPrBr6,225,-1.86211,3.971,0.0227,27.56
JVASP-110338,K2LiGaF6,225,-3.03689,6.501,0.0,17.5
JVASP-110386,Rb2NaYBr6,225,-1.89035,4.23,0.0,0.0
JVASP-110340,K2LiCoF6,225,-2.69254,1.174,0.0,5.84
JVASP-110387,Rb2YTlI6,225,-1.28321,2.988,0.0773,2.86
JVASP-110341,K3YBr6,225,-1.83034,3.939,0.0773,0.0
JVASP-110342,K2NaSmCl6,225,-2.13463,4.9030000000000005,0.0,0.0
JVASP-110345,K2TlInF6,225,-2.56835,3.475,0.0473,0.0
JVASP-110512,Rb2VF6,225,-3.09176,0.0,0.0,0.0
JVASP-110541,Sr2NbInO6,225,-2.75409,3.521,0.0,0.0
JVASP-106204,K3AlCl6,225,-1.87063,4.819,0.0227,0.0
JVASP-106221,Rb2AgSbF6,225,-2.37486,2.168,0.0445,0.5700000000000001
JVASP-106223,Na2InGaF6,225,-2.36944,2.045,0.2601,4.83
JVASP-114319,KAg,225,0.05414,1.124,0.121,30.75
JVASP-116270,LiH,225,-0.53195,3.3,0.0,0.0
JVASP-116271,LiH,225,-0.5317700000000001,3.3,0.0002,0.0
JVASP-112579,NaVH8N2F6,225,-1.60345,0.0,0.0,33.75
JVASP-116303,Li2Se,225,-1.3994,3.042,0.0,0.13
JVASP-114961,GaI,225,-0.44231,1.518,0.0,27.14
JVASP-115141,InI,225,-0.5311400000000001,1.545,0.0212,32.7
JVASP-115391,PbS,225,-0.64273,0.502,0.0132,32.07
JVASP-115419,NaLi2As,225,-0.7017500000000001,1.183,0.0,21.71
JVASP-104822,Rb3YI6,225,-1.47791,3.195,0.0665,0.06
JVASP-115624,Be2C,225,-0.39973,1.5470000000000002,0.0,29.56
JVASP-106422,K2CuBiI6,225,-0.7609800000000001,0.32,0.0918,18.99
JVASP-110664,K3SbF6,225,-2.71613,3.904,0.1017,0.0
JVASP-110698,Rb2AsAuF6,225,-2.13202,0.865,0.1844,18.35
JVASP-111204,K3ScF6,225,-3.46408,6.328,0.0,0.0
JVASP-111224,Rb2AlAuF6,225,-2.80707,1.313,0.0933,4.05
JVASP-111232,Rb3RhF6,225,-2.52308,2.164,0.0,11.0
JVASP-111236,Rb2LiGaF6,225,-3.03226,6.191,0.0,0.0
JVASP-111237,Rb2LiRhF6,225,-2.61014,1.82,0.0,16.27
JVASP-118783,NaF,225,-2.93364,6.393,0.0038,0.0
JVASP-117958,Ca2C,225,0.14176,0.39,0.2441,32.03
JVASP-120284,LiF,225,-3.19048,9.301,0.0,0.0
JVASP-121185,Li2S,225,-1.52185,3.452,0.0,0.0
JVASP-121474,NaAlH8N2F6,225,-1.77543,6.982,0.0,0.0
JVASP-121554,FePtC6N6,225,0.30431,2.251,0.3572,33.72
JVASP-134706,YCuSe2,225,-0.92029,0.0,0.3601,17.53
JVASP-134423,CaTe,225,-1.78335,1.557,0.0,23.76
JVASP-136898,K3P,225,-0.33697,0.951,0.0156,18.93
JVASP-134497,CdSe,225,-0.5161800000000001,0.0,0.0826,24.04
JVASP-136189,AgI,225,-0.20442,0.661,0.0024,26.65
JVASP-135434,MgS,225,-1.6449,2.811,0.0,0.01
JVASP-139466,MgTe,225,-0.91978,0.482,0.0321,33.83
JVASP-150249,PbS,225,-0.64356,0.761,0.0124,33.48
JVASP-150058,TePb,225,-0.42963,1.036,0.0,33.28
JVASP-150063,TePb,225,-0.42955,0.838,0.0001,33.68
JVASP-149870,PbS,225,-0.6435200000000001,0.722,0.0124,33.6
JVASP-150333,Li2H6Pt,225,-0.37666,3.011,0.0,0.8
JVASP-149916,SnTe,225,-0.32578,0.479,0.0,17.24
JVASP-154234,BiF3,225,-2.39022,4.148,0.2009,0.0
